FIPS,GDP_ALL,OBJECTID
42041,16231370000,687
42045,36364675000,688
42051,5103296000,689
42061,1471512000,690
42071,30427329000,691
42089,7457481000,692
42095,16114081000,693
51063,397772000,694
51087,31022914000,695
53077,11966915000,696
45027,681952000,697
45047,3226717000,698
1043,2910219000,699
45029,1065934000,700
45071,1599091000,701
46067,489702000,702
1033,2668227000,703
2050,786424000,704
4007,2052544000,705
5039,255812000,706
6039,7071620000,707
8043,1646304000,708
12013,296708000,709
12069,9743286000,710
12129,819460000,711
13219,1521773000,712
16035,375694000,713
16069,2324987000,714
17153,233736000,715
18071,2517563000,716
19087,980678000,717
21003,505513000,718
21051,382829000,719
21165,98979000,720
46085,173283000,721
47057,457134000,722
2195,197499000,723
6009,1879126000,724
8097,2418543000,725
13007,86239000,726
21055,218418000,727
22017,13716538000,728
22115,2082948000,729
26137,1069136000,730
29019,9795883000,731
30005,206445000,732
37029,153417000,733
40089,1119442000,734
41023,277653000,735
46117,136781000,736
47091,438048000,737
39047,2931392000,738
39061,81560373000,739
39095,26587161000,740
45055,1923852000,741
45059,2413086000,742
45069,886775000,743
45073,4163658000,744
45083,16949722000,745
45089,869934000,746
46009,275317000,747
6043,1000996000,748
6095,26035209000,749
8035,19617598000,750
10003,55201763000,751
12079,484751000,752
12113,4745500000,753
13001,1646748000,754
13079,155173000,755
13135,50067819000,756
13311,822923000,757
47107,2218343000,758
47117,1236331000,759
47123,1480307000,760
47143,2091529000,761
47151,532514000,762
47155,4530737000,763
47157,66752724000,764
47165,7103726000,765
47167,1226297000,766
47185,777669000,767
47189,5403441000,768
48001,2111672000,769
48005,3566250000,770
48029,109258861000,771
48037,3887299000,772
48043,418035000,773
48051,1285948000,774
48057,3753146000,775
48067,884501000,776
48091,6123189000,777
48109,1099070000,778
48119,120484000,779
48173,2751768000,780
48187,6072885000,781
48205,806450000,782
48215,22341504000,783
48225,985092000,784
48263,196382000,785
48273,1226005000,786
48287,963401000,787
48301,4696576000,788
48311,1635803000,789
48315,303325000,790
48339,30124957000,791
48343,665272000,792
48349,1776193000,793
48373,1301001000,794
48377,266251000,795
48383,3262126000,796
48405,780025000,797
48407,352063000,798
46041,217376000,799
46071,76567000,800
46075,55597000,801
46079,632748000,802
46127,1395737000,803
47013,994940000,804
47021,1257091000,805
47031,2949035000,806
47035,1762480000,807
47037,74012393000,808
47041,684090000,809
47065,26366243000,810
47089,1562793000,811
56003,540386000,812
56013,1726366000,813
56031,659480000,814
56035,1037079000,815
1041,462069000,816
2100,124318000,817
4001,2900566000,818
5001,1090088000,819
5029,784076000,820
5057,982335000,821
39115,320771000,822
40113,816790000,823
41015,747016000,824
42049,12390616000,825
42101,120950683000,826
45009,388633000,827
45057,4389698000,828
45087,854658000,829
47025,863587000,830
47053,1626474000,831
47135,209437000,832
47163,8075078000,833
48089,860077000,834
48135,12705336000,835
48203,4851729000,836
48323,1828444000,837
48351,542259000,838
48379,224459000,839
48409,2860983000,840
48465,1955664000,841
49007,1062465000,842
49019,659022000,843
51029,599192000,844
51141,507849000,845
51193,525769000,846
53011,23462857000,847
53045,1887542000,848
54025,1239312000,849
55001,544697000,850
8027,149955000,851
8051,1225019000,852
5041,583406000,853
13261,1236737000,854
18179,1212556000,855
22111,544387000,856
23003,2861101000,857
40133,744387000,858
35019,160445000,859
37105,2857070000,860
37125,3729437000,861
19035,768061000,862
20033,67582000,863
20149,1359418000,864
21027,370496000,865
21147,280045000,866
21175,272873000,867
22005,8610109000,868
22015,5508676000,869
22025,215003000,870
22037,540423000,871
22091,180624000,872
22109,5679566000,873
24029,1092166000,874
24047,3317064000,875
26055,5273134000,876
27015,1656106000,877
27167,318517000,878
28051,323716000,879
29013,464368000,880
29095,48779174000,881
30053,578660000,882
35033,110080000,883
36059,99477179000,884
38003,699559000,885
38055,787609000,886
40055,109672000,887
40117,390240000,888
42043,23745835000,889
42097,3208735000,890
45015,8223729000,891
45067,696935000,892
47009,5935954000,893
47129,330986000,894
48065,1035948000,895
48157,26816286000,896
12057,96615054000,897
12089,2804452000,898
13025,280898000,899
39167,3818690000,900
40023,410507000,901
18007,503582000,902
18051,3686173000,903
18123,792577000,904
20083,120576000,905
20203,241057000,906
21079,265159000,907
21123,240871000,908
21209,3426831000,909
22065,431542000,910
22105,4262128000,911
23025,1855041000,912
26007,1189921000,913
28017,554410000,914
48419,1217902000,915
54083,958094000,916
6063,1461490000,917
48129,153974000,918
48313,592227000,919
53027,3061508000,920
54059,695157000,921
5119,29745246000,922
6093,2147001000,923
2170,2831292000,924
13075,426481000,925
25005,29132173000,926
13303,709036000,927
17017,693181000,928
22043,407699000,929
22127,512959000,930
10001,8370319000,931
12075,1008267000,932
27021,1130602000,933
28089,6272716000,934
29227,69809000,935
30043,291836000,936
30081,1191548000,937
34027,55698768000,938
36075,7236689000,939
37021,14775589000,940
37107,3204139000,941
37145,1699183000,942
37193,2452410000,943
40141,241651000,944
41031,841630000,945
41047,17720607000,946
27087,182374000,947
27173,627798000,948
28109,1064532000,949
29027,1957329000,950
30009,364895000,951
30033,40384000,952
31033,558254000,953
34031,23610753000,954
35017,1190266000,955
36009,3291880000,956
36061,769105785000,957
36071,19657259000,958
37015,693096000,959
37101,8079175000,960
37131,684636000,961
37159,5761670000,962
37183,84686112000,963
13201,250650000,964
13265,35767000,965
44009,7222420000,966
45003,7406917000,967
45007,7751600000,968
45017,685169000,969
45035,3981385000,970
45041,7825616000,971
45045,34476522000,972
45051,13644602000,973
30007,201542000,974
30093,1634199000,975
37051,18471002000,976
37139,1592687000,977
45061,398590000,978
46055,112231000,979
47045,1865191000,980
47127,435051000,981
51105,512319000,982
54007,340016000,983
54099,1122758000,984
42031,1396917000,985
1009,975948000,986
1047,1368839000,987
5073,144137000,988
6027,1435942000,989
6053,29455388000,990
6099,26471782000,991
8111,42409000,992
12045,477815000,993
12105,28360410000,994
12121,1287983000,995
16041,397696000,996
16079,467023000,997
18021,843982000,998
48175,328082000,999
48503,894892000,1000
51113,381408000,1001
53033,323859634000,1002
53057,7931283000,1003
6091,132100000,1004
18125,774940000,1005
26003,266231000,1006
27103,1707888000,1007
1039,1283429000,1008
1061,589539000,1009
1075,393749000,1010
4011,1765019000,1011
1013,664893000,1012
1015,4590003000,1013
21235,1131498000,1014
22057,4314393000,1015
24023,1478951000,1016
26013,285883000,1017
26071,366836000,1018
47145,2719127000,1019
47183,1345924000,1020
48041,10482501000,1021
48079,234566000,1022
48341,2252441000,1023
49005,5837645000,1024
49023,516403000,1025
51103,497580000,1026
51157,309166000,1027
53019,241607000,1028
53075,2886231000,1029
55011,533262000,1030
56033,1439830000,1031
56039,2654134000,1032
5085,1358677000,1033
6089,9783798000,1034
8005,50711017000,1035
8033,107682000,1036
1073,47401978000,1037
1129,931529000,1038
2290,336800000,1039
42131,2081428000,1040
45021,1962831000,1041
27137,12430384000,1042
28021,814563000,1043
28053,212420000,1044
28137,534125000,1045
30003,1203904000,1046
30035,487595000,1047
30061,113118000,1048
30089,362260000,1049
31009,32844000,1050
32033,700224000,1051
34009,5959758000,1052
36017,2517266000,1053
37019,4816532000,1054
37047,1629919000,1055
37079,497136000,1056
37147,10008070000,1057
37173,698431000,1058
45065,239458000,1059
46003,89346000,1060
47055,1206737000,1061
47085,823239000,1062
5145,2327269000,1063
13107,799562000,1064
16007,214242000,1065
47119,4355752000,1066
47147,2640029000,1067
48015,1476345000,1068
48277,2915481000,1069
48391,376179000,1070
48469,4641937000,1071
49057,12244769000,1072
51155,1492028000,1073
53067,14904006000,1074
54031,456878000,1075
54057,844589000,1076
54085,623029000,1077
55007,488740000,1078
55057,940689000,1079
55121,1472040000,1080
41003,5005948000,1081
42023,232159000,1082
42055,6606645000,1083
44007,37080311000,1084
21203,358198000,1085
5017,302565000,1086
13215,11760813000,1087
13301,213315000,1088
16013,1667226000,1089
16031,1632023000,1090
17125,560781000,1091
24015,5309239000,1092
24039,965578000,1093
17007,1919559000,1094
18053,2611525000,1095
20065,149725000,1096
21011,216968000,1097
21067,20774494000,1098
21101,2144318000,1099
21133,399486000,1100
22077,842237000,1101
22103,12187548000,1102
8069,20736490000,1103
12029,332015000,1104
27067,2519180000,1105
27119,1392941000,1106
20067,510871000,1107
21089,966994000,1108
26089,795125000,1109
26141,407774000,1110
32031,28449014000,1111
38097,470595000,1112
47105,1995183000,1113
13309,122178000,1114
17003,198495000,1115
17189,983576000,1116
19003,262355000,1117
19163,9555654000,1118
20195,187479000,1119
21187,209874000,1120
22063,2922849000,1121
22101,2584176000,1122
8117,2801481000,1123
12007,761704000,1124
13031,2572039000,1125
39123,2160582000,1126
40101,3237010000,1127
27069,203365000,1128
27107,223381000,1129
27145,9211420000,1130
28049,12825728000,1131
29171,145949000,1132
30075,94182000,1133
32011,1394200000,1134
34033,5522456000,1135
36113,4660924000,1136
37031,2776682000,1137
37113,1558095000,1138
38035,4392879000,1139
39055,4406335000,1140
46023,510927000,1141
47093,27794672000,1142
1071,1603386000,1143
13019,443286000,1144
48061,11978930000,1145
48185,1107609000,1146
48239,748548000,1147
6011,1678303000,1148
16029,540265000,1149
1021,1088804000,1150
1027,446444000,1151
1029,293412000,1152
4023,2111098000,1153
1093,963606000,1154
5053,452963000,1155
1103,6109280000,1156
1133,814875000,1157
2070,295965000,1158
2110,2558095000,1159
2150,840158000,1160
2220,538475000,1161
2261,2268843000,1162
48389,8868765000,1163
49017,261541000,1164
51093,1572227000,1165
51171,1774537000,1166
53021,4119241000,1167
53055,863731000,1168
5069,3307945000,1169
5107,590418000,1170
6041,27489610000,1171
6077,34339849000,1172
8001,30085961000,1173
1059,1049427000,1174
1097,20740796000,1175
48283,3822634000,1176
48401,2571159000,1177
48459,887712000,1178
49037,500308000,1179
51027,1191453000,1180
51101,516593000,1181
51147,797231000,1182
54003,3719460000,1183
54041,667232000,1184
42017,35160473000,1185
5043,671635000,1186
5049,208150000,1187
2020,23604109000,1188
4021,8460999000,1189
13113,5426602000,1190
13151,6648959000,1191
13191,218353000,1192
23027,1417999000,1193
24027,27493327000,1194
5135,360309000,1195
9005,8847956000,1196
9013,5733956000,1197
12115,21205066000,1198
5101,118209000,1199
5105,153680000,1200
5115,2998000000,1201
5005,1546656000,1202
5009,1388315000,1203
8021,266773000,1204
8039,717044000,1205
8059,35165953000,1206
1037,202546000,1207
8073,392377000,1208
8101,7234789000,1209
8121,191550000,1210
8125,606881000,1211
5077,223906000,1212
1017,953730000,1213
5129,188234000,1214
13063,20395714000,1215
13159,297138000,1216
6031,7163683000,1217
6035,1441448000,1218
6075,203486742000,1219
8003,842111000,1220
8015,907433000,1221
13003,294663000,1222
12035,2562654000,1223
12059,386761000,1224
12087,5330516000,1225
12109,9012155000,1226
12111,9738034000,1227
5149,571768000,1228
6021,1367264000,1229
6025,9334680000,1230
6061,24708238000,1231
6109,3261986000,1232
13117,9520392000,1233
13169,476835000,1234
13197,125220000,1235
17067,606785000,1236
17183,3581970000,1237
13059,8322444000,1238
13069,1658754000,1239
13083,426855000,1240
17053,713266000,1241
13145,635048000,1242
13023,292381000,1243
13037,150929000,1244
13053,1543284000,1245
17073,1686982000,1246
17097,61745947000,1247
17059,218043000,1248
17063,4217136000,1249
13093,479586000,1250
16051,871310000,1251
16065,1380244000,1252
13111,795560000,1253
13243,222342000,1254
13257,1018702000,1255
17011,1489086000,1256
17015,667945000,1257
18099,1726805000,1258
18101,1135761000,1259
13287,259954000,1260
13295,1593958000,1261
15003,70808812000,1262
16009,368306000,1263
18003,22495346000,1264
17149,606257000,1265
17159,685623000,1266
17107,1125404000,1267
17115,7363464000,1268
17121,1518440000,1269
17131,456739000,1270
17135,1227132000,1271
17145,676655000,1272
13233,1357735000,1273
13239,42440000,1274
18031,1708896000,1275
18037,2795417000,1276
18041,638019000,1277
18055,710148000,1278
18065,1425433000,1279
18075,954236000,1280
18085,5180547000,1281
18091,4330945000,1282
18109,1895129000,1283
16019,5921384000,1284
16021,412326000,1285
16045,415558000,1286
17029,2653726000,1287
18181,1041175000,1288
19007,441068000,1289
19017,1209857000,1290
19025,462284000,1291
18095,4052563000,1292
18097,96933488000,1293
17173,859953000,1294
17177,1992346000,1295
16075,844973000,1296
17005,582977000,1297
19103,9499115000,1298
19117,344441000,1299
19127,2042815000,1300
19131,800150000,1301
20105,129367000,1302
20109,174888000,1303
20111,1534604000,1304
20113,2706494000,1305
19135,472824000,1306
19041,1064170000,1307
18017,1468111000,1308
20049,91812000,1309
20057,2224498000,1310
18115,128394000,1311
18119,557427000,1312
18121,374488000,1313
20091,48597933000,1314
20097,160093000,1315
20101,131477000,1316
19049,5415120000,1317
18133,1185523000,1318
18157,10298161000,1319
18111,368196000,1320
17021,1641726000,1321
19159,209698000,1322
19165,756942000,1323
20063,190155000,1324
20073,195514000,1325
20077,318722000,1326
20085,435156000,1327
19169,5676364000,1328
19189,462038000,1329
20001,597148000,1330
20009,1304668000,1331
20015,3023641000,1332
20025,187891000,1333
20029,414913000,1334
20043,320456000,1335
40045,249874000,1336
48309,13183964000,1337
48337,745725000,1338
48355,20812091000,1339
51740,6626655000,1340
18143,751850000,1341
18171,257956000,1342
18177,2959408000,1343
19097,672428000,1344
19141,977791000,1345
19055,996177000,1346
19073,533561000,1347
19079,892067000,1348
40041,948181000,1349
46111,141368000,1350
51810,22973532000,1351
20087,429921000,1352
20089,147698000,1353
46109,326258000,1354
46121,240032000,1355
53051,650843000,1356
53059,337448000,1357
54011,5121788000,1358
23011,6067845000,1359
24019,1414520000,1360
38103,290061000,1361
30101,387885000,1362
31003,528410000,1363
48275,153892000,1364
31029,331771000,1365
24025,13822360000,1366
24035,2068014000,1367
25009,50083844000,1368
26015,1655995000,1369
38045,321693000,1370
38051,157604000,1371
38095,144303000,1372
38101,4172904000,1373
25003,7824707000,1374
25011,3299783000,1375
25021,58443676000,1376
26159,2980748000,1377
26165,1333924000,1378
40151,622527000,1379
42073,3438135000,1380
42083,2280169000,1381
48441,6934438000,1382
48451,5920705000,1383
55123,1134772000,1384
47115,875830000,1385
47125,5761559000,1386
46015,246148000,1387
46035,1279757000,1388
46039,299478000,1389
46049,162699000,1390
51075,2856256000,1391
45001,679076000,1392
48045,114994000,1393
51181,1205161000,1394
29005,370197000,1395
29009,1462303000,1396
39159,4496769000,1397
31171,40538000,1398
48145,417059000,1399
36057,2143502000,1400
36067,33575047000,1401
39105,401384000,1402
27153,910356000,1403
27157,835856000,1404
28013,308625000,1405
26023,1465314000,1406
37001,6471101000,1407
55077,452543000,1408
29203,173536000,1409
29133,406480000,1410
29149,235545000,1411
31031,321378000,1412
31035,329729000,1413
31037,685271000,1414
38027,130306000,1415
13205,857533000,1416
13315,185289000,1417
